Season,name,position,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Emerson Aparecido Leite de Souza Junior,DEF,0,2,28,1,2.3,0,0,1.3,10.6,82,0,0,0,0,0,49969,0.0,2.0,0.0,8,5190,2573,49,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Rico Henry,DEF,0,0,11,0,3.0,2,0,1.3,10.0,90,0,0,0,0,0,136460,0.0,2.0,0.0,1,7448,10179,45,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Ethan Pinnock,DEF,0,0,13,0,0.8,2,0,1.7,12.0,90,0,0,0,0,0,477352,0.0,2.0,4.0,1,6376,17481,46,0,0,14,2021-12-02 19:30:00,Brentford,2,3.0
2021-22,Davinson Sánchez,DEF,0,0,24,1,1.2,0,0,1.7,6.6,90,0,0,0,0,0,90319,0.0,2.0,9.0,6,474,3084,45,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Ben Davies,DEF,0,0,20,1,1.1,0,0,3.9,18.6,90,0,0,0,0,0,23671,0.0,2.0,19.0,6,1927,520,44,1,0,14,2021-12-02 19:30:00,Spurs,3,2.0
2021-22,Trent Alexander-Arnold,DEF,0,0,22,0,34.6,1,0,5.9,17.6,90,0,0,0,0,0,3351242,4.0,1.0,7.0,2,158929,16257,80,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Virgil van Dijk,DEF,0,0,10,0,0.5,1,0,2.7,18.8,90,0,0,0,0,0,1539620,4.0,1.0,8.0,1,51103,20036,66,0,1,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Ben Godfrey,DEF,0,0,9,0,0.3,4,0,1.8,18.0,90,0,0,0,0,0,41982,4.0,1.0,0.0,0,187,1146,48,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Joel Matip,DEF,0,0,13,0,0.5,1,0,3.0,21.6,90,0,0,0,0,0,200271,4.0,1.0,8.0,2,1965,27379,50,0,0,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Oleksandr Zinchenko,DEF,0,0,21,0,17.7,1,0,5.3,24.2,90,0,0,0,0,0,58667,2.0,1.0,11.0,2,338,603,53,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Matthew Cash,DEF,0,0,6,0,0.7,2,0,1.7,15.8,90,0,0,0,0,0,300180,2.0,1.0,0.0,1,3598,21803,50,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Rúben Santos Gato Alves Dias,DEF,0,1,28,0,1.1,1,1,6.4,51.8,90,0,0,0,0,0,1978190,2.0,1.0,11.0,9,18215,65824,60,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Michael Keane,DEF,0,0,20,0,20.3,4,0,4.6,26.0,90,0,0,0,0,0,222071,4.0,1.0,0.0,0,1864,14547,50,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Ashley Young,DEF,0,0,5,0,0.6,1,0,0.5,4.8,59,0,0,0,0,0,45407,2.0,1.0,0.0,1,2893,528,47,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Tyrone Mings,DEF,0,0,11,0,1.0,2,0,3.1,13.2,90,0,0,0,0,0,562510,2.0,1.0,17.0,1,13778,18401,49,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Matt Targett,DEF,0,0,7,0,0.9,2,0,1.6,14.6,66,0,0,0,0,0,190393,2.0,1.0,0.0,1,5655,4662,47,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Lucas Digne,DEF,0,0,9,0,11.3,4,0,2.1,9.8,90,0,0,0,0,0,450789,4.0,1.0,0.0,-1,1553,16699,51,1,1,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,Ezri Konsa Ngoyo,DEF,0,0,10,0,0.3,2,0,3.5,17.8,90,0,0,0,0,0,45869,2.0,1.0,17.0,1,288,1298,49,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Andrew Robertson,DEF,2,0,35,0,36.7,1,0,9.2,51.6,90,0,0,0,0,0,159141,4.0,1.0,4.0,7,16473,3543,70,0,1,14,2021-12-01 20:15:00,Liverpool,4,1.0
2021-22,Seamus Coleman,DEF,0,0,1,0,0.5,4,0,0.5,2.2,90,0,0,0,0,0,33915,4.0,1.0,2.0,0,338,923,49,1,0,14,2021-12-01 20:15:00,Everton,1,4.0
2021-22,João Pedro Cavaco Cancelo,DEF,0,0,10,0,18.2,1,0,5.3,10.0,90,0,0,0,0,0,3210022,2.0,1.0,25.0,2,161739,15534,67,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Nathan Aké,DEF,0,0,14,0,0.7,1,0,1.7,16.6,90,0,0,0,0,0,34308,2.0,1.0,0.0,2,180,723,48,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Antonio Rüdiger,DEF,0,0,21,0,1.6,1,0,3.6,34.6,90,0,0,0,0,0,1844276,2.0,1.0,0.0,2,159096,25006,60,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Nathan Collins,DEF,0,0,26,1,10.8,0,0,4.3,28.0,90,0,0,0,0,0,7321,0.0,0.0,4.0,6,51,191,43,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Francisco Femenía Far,DEF,0,0,14,0,19.3,2,0,4.6,16.6,90,0,0,0,0,0,5877,2.0,1.0,10.0,1,440,288,43,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Arthur Masuaku,DEF,0,0,3,0,2.4,1,0,0.8,3.2,13,0,0,0,0,0,4112,1.0,1.0,2.0,1,220,94,44,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Jeremy Ngakia,DEF,0,0,1,0,0.8,0,0,0.2,0.0,5,0,0,0,0,0,3866,2.0,1.0,2.0,1,43,83,43,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Shane Duffy,DEF,0,0,9,0,0.7,0,0,1.1,10.4,54,0,0,0,0,0,1792336,1.0,1.0,0.0,1,8583,142268,42,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Danny Rose,DEF,0,0,6,0,1.3,2,0,2.6,6.4,78,0,0,0,0,0,22826,2.0,1.0,18.0,0,506,892,42,1,1,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Trevoh Chalobah,DEF,0,0,8,0,1.1,1,0,0.9,8.0,59,0,0,0,0,0,432287,2.0,1.0,0.0,1,55573,10842,48,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Luke Thomas,DEF,1,0,23,0,12.1,2,0,4.7,30.4,90,0,0,0,0,0,46630,2.0,2.0,4.0,4,590,1079,43,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Ben Mee,DEF,0,0,19,1,0.2,0,0,2.1,21.0,90,0,0,0,0,0,45251,0.0,0.0,0.0,5,1339,1108,49,0,1,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Kyle Walker-Peters,DEF,0,0,4,0,1.8,2,0,3.0,7.6,90,0,0,0,0,0,43537,2.0,2.0,21.0,1,1021,2280,48,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Rayan Ait Nouri,DEF,0,0,21,1,14.0,0,0,5.8,11.6,90,0,0,0,0,0,46421,0.0,0.0,32.0,6,7699,2848,43,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Jan Bednarek,DEF,0,3,30,0,10.9,2,1,10.2,54.0,84,0,0,0,0,0,72919,2.0,2.0,37.0,10,1918,4817,44,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Adam Webster,DEF,0,0,7,0,0.4,1,0,0.3,3.0,35,0,0,0,0,0,16616,1.0,1.0,0.0,1,149,212,44,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Andreas Christensen,DEF,0,0,16,0,1.5,1,0,2.1,19.2,90,0,0,0,0,0,206595,2.0,1.0,0.0,2,2000,28156,48,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Joël Veltman,DEF,0,0,12,0,2.0,1,0,2.3,8.6,69,0,0,0,0,0,72899,1.0,1.0,12.0,2,1313,2698,43,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Nélson Cabral Semedo,DEF,0,3,29,1,21.8,0,0,5.1,17.6,90,0,0,0,0,0,205262,0.0,0.0,12.0,9,4440,10999,49,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Romain Saïss,DEF,0,0,27,1,1.4,0,0,2.1,16.4,90,0,0,0,0,0,95745,0.0,0.0,3.0,6,6988,6205,50,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Craig Cathcart,DEF,0,0,8,0,0.2,2,0,0.5,4.8,90,0,0,0,0,0,8739,2.0,1.0,0.0,1,610,397,44,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Max Kilman,DEF,0,1,28,1,12.2,0,0,4.2,29.4,90,0,0,0,0,0,40035,0.0,0.0,0.0,6,3714,2153,45,1,1,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Matthew Lowton,DEF,0,0,23,1,1.7,0,0,3.2,22.4,90,0,0,0,0,0,146091,0.0,0.0,8.0,5,3517,7244,44,0,1,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,William Troost-Ekong,DEF,0,0,2,0,0.1,2,0,0.5,3.0,90,0,0,0,0,0,9646,2.0,1.0,2.0,0,208,326,44,1,1,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Tariq Lamptey,DEF,1,0,19,0,15.3,0,0,4.2,26.2,20,0,0,0,0,0,107428,1.0,1.0,0.0,4,32545,1816,44,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Conor Coady,DEF,0,0,26,1,0.3,0,0,1.2,11.8,90,0,0,0,0,0,519005,0.0,0.0,0.0,6,18738,10574,45,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Marc Cucurella,DEF,0,0,11,0,18.5,1,0,4.2,14.8,90,0,0,0,0,0,100747,1.0,1.0,9.0,2,6725,3959,50,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Lewis Dunk,DEF,0,0,11,0,1.7,1,0,4.7,24.4,90,0,0,0,0,0,382885,1.0,1.0,21.0,2,4484,11615,50,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Timothy Castagne,DEF,0,0,8,0,1.6,2,0,1.7,15.8,90,0,0,0,0,0,53117,2.0,2.0,0.0,1,3443,2121,53,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Lyanco Evangelista Silveira Neves Vojnovic,DEF,0,0,3,0,0.0,0,0,0.0,0.0,5,0,0,0,0,0,1824,2.0,2.0,0.0,1,42,54,44,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Thiago Emiliano da Silva,DEF,0,0,7,0,0.6,0,0,0.9,8.6,45,0,0,0,0,0,387958,2.0,1.0,0.0,1,53234,5956,55,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Craig Dawson,DEF,0,0,7,0,0.1,1,0,1.1,4.8,90,0,0,0,0,0,22192,1.0,1.0,6.0,2,714,446,49,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Kurt Zouma,DEF,0,0,8,0,0.1,1,0,3.1,11.0,90,0,0,0,0,0,159363,1.0,1.0,20.0,2,9586,4812,54,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Çaglar Söyüncü,DEF,0,0,12,0,0.6,2,0,0.9,8.8,90,0,0,0,0,0,179442,2.0,2.0,0.0,1,4306,5608,49,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Mohammed Salisu,DEF,0,0,15,0,0.6,2,0,5.4,23.8,90,0,0,0,0,0,22569,2.0,2.0,30.0,1,1219,1462,45,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Marcos Alonso,DEF,0,0,9,0,5.4,1,0,3.0,20.2,90,0,0,0,0,0,924809,2.0,1.0,4.0,1,166646,15173,56,0,1,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Jonny Evans,DEF,0,0,28,0,0.3,2,1,7.7,60.0,90,0,0,0,0,0,17929,2.0,2.0,17.0,7,2390,767,54,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Tino Livramento,DEF,0,0,12,0,4.0,2,0,1.8,12.2,90,0,0,0,0,0,1930641,2.0,2.0,2.0,1,22033,70978,46,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Charlie Taylor,DEF,0,3,29,1,5.2,0,0,2.9,22.6,90,0,0,0,0,0,28039,0.0,0.0,1.0,9,487,994,44,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Ben Johnson,DEF,0,0,8,0,1.9,1,0,1.8,16.0,90,0,0,0,0,0,406284,1.0,1.0,0.0,2,33983,10136,40,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Vladimir Coufal,DEF,0,0,12,0,34.3,1,0,8.6,19.0,90,0,0,0,0,0,333203,1.0,1.0,33.0,2,1297,13007,47,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,César Azpilicueta,DEF,0,0,10,0,2.2,1,0,1.3,8.2,68,0,0,0,0,0,334745,2.0,1.0,3.0,2,6210,30001,58,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Adam Masina,DEF,0,0,3,0,0.3,0,0,0.1,0.2,11,0,0,0,0,0,6428,2.0,1.0,0.0,1,48,314,43,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Liam Cooper,DEF,1,3,36,1,0.7,0,0,5.2,32.8,90,0,0,0,0,0,38241,0.0,1.0,18.0,12,3012,1272,45,1,0,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Tyrick Mitchell,DEF,0,0,12,0,1.7,1,0,3.9,27.6,90,0,0,0,0,0,105629,0.0,1.0,10.0,2,3355,7481,45,0,0,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,James Tomkins,DEF,0,0,8,0,0.0,1,0,1.8,15.8,90,0,0,0,0,0,8158,0.0,1.0,2.0,2,147,131,43,0,0,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,Pascal Struijk,DEF,0,0,0,0,1.3,0,0,0.4,2.8,45,0,0,0,0,0,15559,0.0,1.0,0.0,0,441,542,44,1,1,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Marc Guéhi,DEF,0,0,2,0,0.6,1,0,0.6,5.6,90,0,0,0,0,0,111126,0.0,1.0,0.0,1,61794,3237,45,0,1,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,Joel Ward,DEF,0,0,7,0,10.8,1,0,2.1,10.4,90,0,0,0,0,0,25508,0.0,1.0,0.0,1,633,1222,45,0,1,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,Diego Llorente,DEF,0,1,25,1,0.4,0,0,1.3,12.6,90,0,0,0,0,0,48558,0.0,1.0,0.0,7,4694,2334,45,1,0,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Charlie Cresswell,DEF,0,0,3,0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,36769,0.0,1.0,0.0,1,741,1166,40,1,0,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Cheikhou Kouyaté,DEF,0,0,14,0,0.2,1,0,1.4,11.4,90,0,0,0,0,0,64913,0.0,1.0,2.0,2,3319,1576,45,0,0,14,2021-11-30 20:15:00,Crystal Palace,3,3.0
2021-22,Héctor Junior Firpo Adames,DEF,0,0,4,0,12.6,0,0,2.6,7.4,45,0,0,0,0,0,28025,0.0,1.0,6.0,0,520,719,47,1,1,14,2021-11-30 20:15:00,Leeds,3,3.0
2021-22,Grant Hanley,DEF,0,0,13,0,0.9,1,0,1.6,7.4,90,0,0,0,0,0,16814,1.0,1.0,8.0,2,4397,1357,44,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Max Aarons,DEF,0,0,16,0,35.7,1,0,5.7,19.6,90,0,0,0,0,0,106874,1.0,1.0,2.0,2,4238,2324,43,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Federico Fernández,DEF,1,0,19,0,0.0,1,0,3.7,19.2,79,0,0,0,0,0,11465,1.0,1.0,18.0,5,228,313,43,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Jamal Lewis,DEF,0,0,6,0,0.8,1,0,1.1,9.8,90,0,0,0,0,0,8003,1.0,1.0,0.0,2,391,263,42,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Fabian Schär,DEF,0,0,13,0,0.3,1,0,2.0,19.6,90,0,0,0,0,0,15034,1.0,1.0,0.0,2,2992,408,43,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Ciaran Clark,DEF,0,0,-7,0,0.2,1,0,0.0,0.0,8,0,0,0,1,0,13301,1.0,1.0,2.0,-2,3443,969,44,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Brandon Williams,DEF,0,1,20,0,30.2,1,0,4.8,17.4,72,0,0,0,0,0,442875,1.0,1.0,0.0,3,26609,7972,39,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Dimitris Giannoulis,DEF,1,0,12,0,15.7,0,0,4.2,22.4,17,0,0,0,0,0,6002,1.0,1.0,4.0,4,63,219,44,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Javier Manquillo,DEF,0,0,6,0,1.3,1,0,0.8,4.2,90,0,0,0,0,0,690916,1.0,1.0,2.0,2,6092,36080,40,1,0,14,2021-11-30 19:30:00,Newcastle,4,4.0
2021-22,Ben Gibson,DEF,0,0,15,0,3.9,1,0,2.6,21.8,90,0,0,0,0,0,6430,1.0,1.0,0.0,2,463,196,44,0,0,14,2021-11-30 19:30:00,Norwich,4,4.0
2021-22,Marcos Alonso,DEF,0,0,17,0,39.0,1,0,5.6,12.8,77,0,0,0,0,0,769347,1.0,1.0,4.0,2,143112,52616,56,1,0,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,Trevoh Chalobah,DEF,0,0,13,0,4.4,1,0,1.9,12.6,90,0,0,0,0,0,385160,1.0,1.0,2.0,2,40342,22153,48,1,0,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,Antonio Rüdiger,DEF,0,0,11,0,2.6,1,0,2.7,7.4,90,0,0,0,0,0,1703662,1.0,1.0,17.0,2,218318,41389,59,1,0,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,Victor Lindelöf,DEF,0,0,13,0,0.1,1,0,2.6,26.2,90,0,0,0,0,0,39843,1.0,1.0,0.0,2,1206,2226,48,0,0,13,2021-11-28 16:30:00,Man Utd,1,1.0
2021-22,Alex Nicolao Telles,DEF,0,0,10,0,1.3,1,0,1.5,13.2,90,0,0,0,0,0,6387,1.0,1.0,0.0,2,1054,643,50,0,0,13,2021-11-28 16:30:00,Man Utd,1,1.0
2021-22,Aaron Wan-Bissaka,DEF,0,0,13,0,1.0,1,0,3.1,29.8,90,0,0,0,0,0,360737,1.0,1.0,0.0,2,4031,31108,52,0,0,13,2021-11-28 16:30:00,Man Utd,1,1.0
2021-22,Thiago Emiliano da Silva,DEF,1,3,29,0,1.6,1,0,4.0,18.8,90,0,0,0,0,0,336183,1.0,1.0,20.0,8,17178,14276,55,1,0,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,Reece James,DEF,0,0,7,0,19.2,1,0,3.7,4.6,90,0,0,0,0,0,2905652,1.0,1.0,13.0,1,812116,18359,62,1,1,13,2021-11-28 16:30:00,Chelsea,1,1.0
2021-22,Eric Bailly,DEF,0,0,5,0,0.0,1,0,1.4,13.8,90,0,0,0,0,0,10658,1.0,1.0,0.0,1,575,894,49,0,1,13,2021-11-28 16:30:00,Man Utd,1,1.0
2021-22,Çaglar Söyüncü,DEF,0,0,12,0,10.3,2,0,3.4,19.2,90,0,0,0,0,0,180194,2.0,4.0,4.0,1,3988,10129,49,1,0,13,2021-11-28 14:00:00,Leicester,4,3.0
2021-22,Ethan Pinnock,DEF,0,0,25,1,0.4,0,0,3.7,15.6,90,0,0,0,0,0,486330,0.0,1.0,21.0,6,1918,57848,46,1,0,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Ben Johnson,DEF,0,0,12,0,16.3,2,0,3.6,19.4,90,0,0,0,0,0,381168,1.0,2.0,0.0,1,24949,21941,40,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,Vladimir Coufal,DEF,0,0,6,0,11.0,1,0,1.7,5.8,29,0,0,0,0,0,344122,1.0,2.0,0.0,1,797,28656,47,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,Charlie Goode,DEF,0,0,24,1,10.2,0,0,2.0,10.2,90,0,0,0,0,0,157174,0.0,1.0,0.0,6,2586,6872,39,1,0,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Francisco Femenía Far,DEF,0,0,13,0,14.9,4,0,2.8,13.0,90,0,0,0,0,0,5712,2.0,4.0,0.0,0,717,197,43,0,0,13,2021-11-28 14:00:00,Watford,3,4.0
2021-22,Arthur Masuaku,DEF,0,0,13,0,1.8,1,0,1.0,7.8,73,0,0,0,0,0,3953,1.0,2.0,0.0,2,81,176,44,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,João Pedro Cavaco Cancelo,DEF,0,0,18,0,28.3,1,0,8.0,25.6,90,0,0,0,0,0,3062560,1.0,2.0,26.0,1,406136,13260,66,1,1,13,2021-11-28 14:00:00,Man City,1,1.0
2021-22,Pontus Jansson,DEF,0,0,22,1,0.0,0,0,0.9,7.2,90,0,0,0,0,0,750390,0.0,1.0,2.0,5,2191,104715,47,1,1,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Rico Henry,DEF,0,0,18,1,0.9,0,0,0.4,3.4,76,0,0,0,0,0,139709,0.0,1.0,0.0,6,19701,7055,45,1,0,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Aymeric Laporte,DEF,0,0,11,0,2.2,1,0,1.8,11.8,90,0,0,0,0,0,270101,1.0,2.0,4.0,1,4659,12250,55,1,1,13,2021-11-28 14:00:00,Man City,1,1.0
2021-22,Luke Thomas,DEF,0,0,22,0,17.7,2,0,3.9,19.2,90,0,0,0,0,0,46984,2.0,4.0,2.0,1,274,2199,43,1,0,13,2021-11-28 14:00:00,Leicester,4,3.0
2021-22,Ben Godfrey,DEF,0,0,13,0,0.7,1,0,1.6,14.8,90,0,0,0,0,0,42832,0.0,1.0,0.0,1,442,1518,48,0,1,13,2021-11-28 14:00:00,Everton,3,4.0
2021-22,William Troost-Ekong,DEF,0,0,8,0,0.1,4,0,0.7,2.6,90,0,0,0,0,0,9734,2.0,4.0,4.0,0,159,543,44,0,0,13,2021-11-28 14:00:00,Watford,3,4.0
2021-22,Craig Dawson,DEF,0,0,16,0,0.3,2,0,2.9,28.6,90,0,0,0,0,0,21766,1.0,2.0,0.0,1,422,910,49,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,Jonny Evans,DEF,1,0,30,0,23.3,2,0,7.0,37.6,90,0,0,0,0,0,16034,2.0,4.0,9.0,4,1135,1907,54,1,0,13,2021-11-28 14:00:00,Leicester,4,3.0
2021-22,Kurt Zouma,DEF,0,0,10,0,0.5,2,0,1.2,11.4,90,0,0,0,0,0,152627,1.0,2.0,0.0,1,9464,12572,54,0,0,13,2021-11-28 14:00:00,West Ham,1,1.0
2021-22,Mads Roerslev Rasmussen,DEF,0,0,3,0,0.0,0,0,0.4,4.0,13,0,0,0,0,0,4281,0.0,1.0,0.0,1,56,156,43,1,0,13,2021-11-28 14:00:00,Brentford,4,3.0
2021-22,Craig Cathcart,DEF,0,0,13,0,0.2,4,0,2.1,20.8,90,0,0,0,0,0,8483,2.0,4.0,0.0,0,306,556,44,0,0,13,2021-11-28 14:00:00,Watford,3,4.0
2021-22,Michael Keane,DEF,0,0,16,0,1.4,1,0,2.8,18.8,90,0,0,0,0,0,234459,0.0,1.0,8.0,2,7017,15626,50,0,0,13,2021-11-28 14:00:00,Everton,3,4.0
